UniqueCount	AmbigCount
0	10472939
0	3661070
0	626938
0	3206
0	9380
0	487392
0	2665
0	911
0	240
0	58
0	20
0	5
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	13
0	7
0	12
0	8
0	13
0	67
0	114
0	0
0	5
0	0
0	1
0	116
0	2
0	101
0	395
0	3
0	53
0	9
0	6
0	23
0	2
0	5
0	14
0	59
0	0
0	6
0	5
0	9
0	33
0	6
0	18
0	0
0	39
0	21
0	5
0	7
0	0
0	22
0	26
0	0
0	37
0	32
0	23
0	3
0	20
0	30
0	192
0	81
0	0
0	19
0	81
0	4
0	50
0	4
0	58
0	36
0	51
0	51
0	88
0	36
0	5
0	21
0	49
0	16
0	15
0	21
0	23
0	19
0	0
0	399
0	36
0	31
0	89
0	0
0	5
0	51
0	70
0	5
0	18
0	11
0	1
0	19
0	0
0	8
0	1
0	8
0	39
0	40
0	59
0	93
0	53
0	141
0	82
0	10
0	23
0	24
0	26
0	21
0	15
0	2
0	12
0	51
0	176
0	31
0	5
0	52
0	40
0	7
0	17
0	0
0	23
0	36
0	52
0	15
0	0
0	8
0	22
0	20
0	22
0	0
0	10
0	9
0	0
0	10
0	15
0	23
0	116
0	10
0	2
0	20
0	0
0	173
0	52
0	120
0	4
0	31
0	16
0	19
0	20
0	8
0	19
0	23
0	0
0	20
0	18
0	9
0	5
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	2
0	2
0	1
0	1
0	1
0	0
0	0
0	1
0	1
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	1
0	2
0	2
0	2
0	2
0	3
0	1
0	23
0	7
0	24
0	24
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	2
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	13
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	48
0	39
0	0
0	11
0	11
0	0
0	0
0	0
0	30
0	69
0	176
0	94
0	152
0	76
0	75
0	20
0	23
0	20
0	1
0	2
0	0
0	1264
0	2007
0	230
0	1499
0	347
0	185
0	1345
0	2052
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	111
0	25
0	3
0	323
0	600
0	57
0	52
0	42
0	114
0	18
0	54
0	275
0	243
0	68
0	4
0	305
0	33
0	25
0	697
0	59
0	53
0	3
0	3
0	28
0	62
0	54
0	489
0	1
0	1
0	0
0	7
0	1
0	4
0	6
0	0
0	4
0	5
0	22
0	5
0	20
0	31
0	0
0	5
0	3
0	4
0	9
0	6
0	8
0	33
0	0
0	1
0	3
0	11
0	19
0	10
0	3
0	36
0	1
0	1
0	3
0	2
0	1
0	28
0	18
0	2
0	20
0	0
0	11
0	2
0	3
0	18
0	9
0	4
0	0
0	5
0	49
0	9
0	31
0	6
0	8
0	52
0	56
0	37
0	0
0	0
0	3
0	2
0	0
0	0
0	3
0	0
0	30
0	14
0	0
0	7
0	16
0	39
0	17
0	31
0	13
0	7
0	64
0	4
0	0
0	2
0	38
0	11
0	8
0	12
0	1
0	47
0	3
0	3
0	3
0	22
0	13
0	10
0	14
0	13
0	4
0	10
0	0
0	20
0	1
0	4
0	1
0	9
0	2
0	59
0	63
0	6
0	1
0	17
0	1
0	6
0	22
0	2
0	31
0	3
0	11
0	6
0	41
0	0
0	3
0	6
0	9
0	6
0	19
0	10
0	3
0	19
0	0
0	5
0	15
0	10
0	9
0	0
0	29
0	1
0	3
0	38
0	0
0	3
