,SRR12007829,SRR12007843,SRR12007847,SRR12007871,SRR12007873,SRR12007875
ENSG00000000003,5.70207785646268,5.44129549130346,5.52426507717209,5.52868635475678,5.52744663919686,5.64620304346087
ENSG00000000419,6.89087522792216,6.86627413982677,7.08928511952975,6.92757998494674,6.99307275852034,7.07946462259807
ENSG00000000457,6.62558393155006,6.57573664914716,6.69114539302286,7.14375977585464,6.85688679956127,6.76264484232477
ENSG00000000460,6.55516736854957,6.14151423373208,6.6637420843014,6.38471786546905,6.28005192132986,6.44535333177566
ENSG00000000938,10.731810984306,11.0992857755054,10.4997641079191,10.5318151453699,10.7629229466376,10.6604914323345
ENSG00000000971,5.52829414963718,5.23748162161236,6.28764570772098,5.86562919498711,7.49078239762924,5.47086668618753
ENSG00000001036,8.04843838635814,7.63206497582686,7.95419355936314,7.28476791906965,8.33219853116929,7.90855748679923
ENSG00000001084,7.0106739958108,7.20547780002638,6.46691763823282,7.26895782700327,7.22681958640847,7.13379758060399
ENSG00000001167,7.21651683718647,7.0419354290841,6.99375604420683,7.39549815133457,7.32794944376218,7.24905888417274
ENSG00000001460,6.36291902408536,5.86521232380483,5.94237285256308,5.79037843967987,7.02090215596099,5.79473681752261
ENSG00000001461,7.55344993794547,7.38016625076991,7.74526291498459,8.17074518409472,7.74214218511937,7.95849652319783
ENSG00000001497,8.01163977144589,7.48806796749963,7.63518289244215,7.9578424293849,7.63769818133424,7.74190664210797
ENSG00000001561,6.52162937429715,6.577751110245,6.47930231842741,6.74300153428053,7.13192333380205,6.60206411190765
ENSG00000001617,5.61819934376441,5.68041261927629,5.55915605668384,5.46868952201127,5.56272163122766,5.56219068714948
ENSG00000001626,5.23748162161236,6.00662544944901,5.23748162161236,5.23748162161236,5.66379553305408,5.23748162161236
ENSG00000001629,6.78566912154614,6.8369793489974,6.93190472470267,7.05089899841344,6.07285216979657,6.54094998582524
ENSG00000001630,6.87873954661053,7.64525754580467,7.41429335388447,6.53807892131994,7.57411176609369,6.39899635587572
ENSG00000001631,6.34237831793216,6.6843823029371,6.98759614096265,7.28668628526047,6.91725961287912,6.66731965878187
ENSG00000002016,6.22055508207289,5.95722428567462,6.55938089919255,7.10638881115916,6.13459050621332,6.0095165759067
ENSG00000002330,7.40655073412617,7.61267313089143,7.18054923925172,7.12296972899172,7.29897961662219,7.46800457536764
